"user_id","full_name","email","country","signup_datetime","signup_source","signup_device","promo_signup_flag"
1,Taras Polishchuk,TARAS.POLISHCHUK1@EXAMPLE.COM,UA,"06/01/2025 16:12",social,ios,0
2,Bohdan Perebiynis,bohdan.perebiynis2@example.com,US,"29/01/2025 04:13",ads,android,1
3,Nazar Pavlenko,nazar.pavlenko3@example.com,UA,"12/06/2025 6:48",organic,android,0
4,Roksolana Polishchuk,roksolana.polishchuk4@example.com,PL,"15.4.25 01:33",ads,web,1
5,Olena Khmara,olena.khmara5@example.com,PL,"1/1/2025 5:00",ads,android,1
6,Maksym Rudenko,maksym.rudenko6@example.com,DE,"6-4-2025 22:04",ads,web,1
7,Yurii Kramar,yurii.kramar7@example.com,DE,"23/1/2025 08:53",promo_campaign,web,1
8,Maria Kots,maria.kots8@example.com,DE,"29/05/2025 01:05",social,android,0
9,Volodymyr Lemko,volodymyr.lemko9@example.com,PL,"08.05.2025 04:38",ads,ios,1
10,Yurii Mazur,yurii.mazur10@example.com,PL,"25/03/2025 01:42",promo_campaign,ios,1
11,Maria Savchenko,maria.savchenko11@example.com,DE,"15/04/2025 05:54",referral,web,0
12,Sofia Lysenko,sofia.lysenko12@example.com,PL,"16/1/2025 05:44",promo_campaign,web,1
13,Olha Mazur,olha.mazur13@example.com,UA,"03.02.2025 20:13",organic,web,0
14,Maria Tkachenko,MARIA.TKACHENKO14@EXAMPLE.COM,UA,"22.05.2025 00:23",promo_campaign,web,1
15,Bohdan Kramar,bohdan.kramar15@example.com,US,"4-6-2025 23:18",promo_campaign,android,1
16,Ivan Hrabovych,ivan.hrabovych16@example.com,US,"7/2/2025 20:25",ads,web,1
17,Ihor Rudenko,ihor.rudenko17@example.com,US,"07/05/2025 22:51",ads,ios,1
18,Iryna Perebiynis,iryna.perebiynis18@example.com,DE,"19-1-2025 23:14",social,web,0
19,Tetiana Khmara,tetiana.khmara19@example.com,US,"01.01.2025 21:15",organic,ios,0
20,Svitlana Perebiynis,svitlana.perebiynis20@example.com,UA,"29/03/2025 17:03",social,ios,0
21,Bohdan Shevchenko,bohdan.shevchenko21@example.com,US,"12/5/2025 16:45",organic,android,0
22,Tetiana Shevchenko,tetiana.shevchenko22@example.com,DE,"13.03.2025 08:11",referral,ios,0
23,Oksana Martynenko,oksana.martynenko23@example.com,DE,"30.1.25 15:17",organic,android,0
24,Tetiana Martynenko,TETIANA.MARTYNENKO24@EXAMPLE.COM,DE,"1-4-2025 19:54",social,ios,0
25,Ivan Bondar,ivan.bondar25@example.com,UA,"13/5/2025 19:50",social,web,0
26,Volodymyr Savchenko,volodymyr.savchenko26@example.com,US,"6.6.25 10:02",ads,web,1
27,Sofia Polishchuk,sofia.polishchuk27@example.com,PL,"15/03/2025 20:09",referral,ios,0
28,Kateryna Kramar,kateryna.kramar28@example.com,US,"23/06/2025 17:15",referral,web,0
29,Vasyl Koval,vasyl.koval29@example.com,DE,"7.5.25 12:03",ads,ios,1
30,Bohdan Bondar,bohdan.bondar30@example.com,UA,"15/1/2025 00:40",organic,android,0
31,Mykola Kryvonos,mykola.kryvonos31@example.com,US,"2-4-2025 10:32",organic,ios,0
32,Oksana Savchenko,oksana.savchenko32@example.com,UA,"17-1-2025 22:26",referral,android,0
33,Oksana Sytnyk,oksana.sytnyk33@example.com,PL,"13/6/2025 09:04",ads,ios,1
34,Vasyl Lemko,vasyl.lemko34@example.com,PL,"23/4/2025 07:52",ads,android,1
35,Oleksandr Kots,oleksandr.kots35@example.com,UA,"14/1/2025 18:46",social,android,0
36,Nazar Bondar,nazar.bondar36@example.com,DE,"26.01.2025 19:28",promo_campaign,ios,1
37,Petro Perebiynis,petro.perebiynis37@example.com,UA,"27.1.25 22:22",promo_campaign,android,1
38,Svitlana Kots,svitlana.kots38@example.com,PL,"26/3/2025 16:44",referral,android,0
39,Andriy Lemko,andriy.lemko39@example.com,DE,"15.5.25 10:58",promo_campaign,ios,1
40,Ihor Shevchenko,ihor.shevchenko40@example.com,US,"12/03/2025 19:47",referral,android,0
41,Alina Kots,alina.kots41@example.com,PL,"24/02/2025 03:16",social,web,0
42,Ivan Savchenko,ivan.savchenko42@example.com,PL,"6/6/2025 6:06",social,web,0
43,Svitlana Dorosh,svitlana.dorosh43@example.com,UA,"21.06.2025 17:36",referral,ios,0
44,Vasyl Kryvonos,vasyl.kryvonos44@example.com,UA,"18/03/2025 20:36",ads,web,1
45,Olha Khmara,olha.khmara45@example.com,DE,"20.5.25 17:55",referral,ios,0
46,Alina Hrabovych,alina.hrabovych46@example.com,UA,"10-6-2025 21:07",organic,ios,0
47,Volodymyr Kryvonos,volodymyr.kryvonos47@example.com,UA,"28/02/2025 06:17",ads,android,1
48,Bohdan Mazur,BOHDAN.MAZUR48@EXAMPLE.COM,US,"3.2.25 20:14",social,web,0
49,Maria Shevchenko,maria.shevchenko49@example.com,US,"6-3-2025 10:26",ads,web,1
50,Oleksandr Pavlenko,OLEKSANDR.PAVLENKO50@EXAMPLE.COM,PL,"18.02.2025 05:34",social,web,0
51,Iryna Mazur,iryna.mazur51@example.com,UA,"9.6.25 09:57",referral,ios,0
